track_id,artist,album,track,album_track_seq,track_release_date
2eG7o3BfbzohiETArwsX1K,Days Of The New,Days Of The New,"Touch, Peel And Stand",2,1997-06-03
3kZC0ZmFWrEHdUCmUqlvgZ,Death Cab for Cutie,Plans,I Will Follow You Into The Dark,5,2005-08-29
4dcXbB7MFoWiqBlDMZDZdv,Future Islands,The Far Field,Shadows,11,2017-04-07
2kkvB3RNRzwjFdGhaUA0tz,Derek & The Dominos,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),Layla - 40th Anniversary Version / 2010 Remastered,13,1970-11-01
0PdM2a6oIjqepoEfcJo0RO,Def Leppard,Hysteria (Super Deluxe),Pour Some Sugar On Me - Remastered 2017,5,1987-08-03
5SAUIWdZ04OxYfJFDchC7S,Deep Purple,Machine Head,Smoke on the Water,5,1972-03-25
1YwNlWLf8auhazSQUDQLFU,Depeche Mode,Enjoy The Silence (21490),Enjoy the Silence - Single Mix,1,1990
4sscDOZCkbLSlDqcCgUJnX,DEVO,Freedom Of Choice,Whip It,3,1980-05-15
3MrWxJaD2AT0W9DjWF64Vm,Dexys Midnight Runners,Too Rye Ay,Come On Eileen,10,1982-07-22
6CpYgr1lWHTmPHhNzMIQnW,Dick Dale,King of the Surf Guitar,Miserlou,1,2012-10-30
1Nwrzr8H7Q4x3lnCPaf7hX,Dickie Pride,British Beat Before The Beatles 1955-1962,Betty Betty (Go Steady with Me),23,2010-10-04
6cr6UDpkjEaMQ80OjWqEBQ,Dire Straits,Dire Straits,Sultans of Swing,6,1978-10-07
40rvBMQizxkIqnjPdEWY1v,Disturbed,The Sickness,Down with the Sickness,4,2000-02-25
5hviCr3lgg6LY6noG6DPKs,Dixie Chicks,Home,Landslide,2,2002-07-26
76hfruVvmfQbw0eYn1nmeC,DNCE,DNCE,Cake By The Ocean,3,2016-11-18
6o6STE55cbhH4BuM2EJRL9,Galantis,Church,Faith (with Dolly Parton) [feat. Mr. Probz],2,2020-02-07
4gvea7UlDkAvsJBPZAd4oB,Don Henley,Building The Perfect Beast,The Boys Of Summer,1,1984-01-01
3ifaGhNHnCPQ9zdnOfolcZ,Donnie Iris,20th Century Masters: The Millennium Collection: Best of Donnie Iris,Ah! Leah!,1,2001-01-01
7AL6qzIDHIX7pEUWrzNiIs,Donovan,The Hurdy Gurdy Man,Hurdy Gurdy Man,1,1968-10
7Ar4G7Ci11gpt6sfH9Cgz5,The Doobie Brothers,Toulouse Street,Listen to the Music,1,1972
5lkJBF90ibNFochLV5tvYw,Susan Tedeschi,Jazz & Blues Gospel,Magnificent Sanctuary Band,4,2013-10-29
4M0m4FUdc4wD2guhUHogLF,Dr. Hook,Pleasure & Pain,Sharing The Night Together,1,1978
5CPXR6lDTvngxtmMZxnWmC,Dream Theater,Images and Words,Pull Me Under,1,1992-06-30
7CpbhqKUedOIrcvc94p60Y,Drowning Pool,Sinner,Bodies,2,2001-01-01
7jZwak3w1Sbwkb8aqusUwi,Duane Eddy,Twangin' The Golden Hits,Rebel Rouser,1,1965-03-04
3nFZ55F2rLClsVOcfojhzV,Duff McKagan,Tenderness,Tenderness,1,2019-05-31
7odHgoLFi3GQ90E9PeraI3,Dusty Springfield,Dusty In Memphis [Deluxe Edition],Son of a Preacher Man,3,1969-03-31
14XWXWv5FoCbFzLksawpEe,The Doors,L.A. Woman,Riders on the Storm,10,1971-04-19
0wokCRaKD0zPNhMRXAgVsr,Duran Duran,Duran Duran,Ordinary World,2,1993-02-15
7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,Born In The U.S.A.,Dancing In the Dark,11,1984-06-04
40riOy7x9W7GXjyGp4pjAv,Eagles,Hotel California (2013 Remaster),Hotel California - 2013 Remaster,1,1976-12-08
